t	E	absM	Cv	chi
2.00000E+00	-8.72521E+03	4.55506E+03	1.90359E+07	1.03762E+07
2.00500E+00	-8.71006E+03	4.54883E+03	1.88755E+07	1.03220E+07
2.01000E+00	-8.68951E+03	4.53903E+03	1.86933E+07	1.02522E+07
2.01500E+00	-8.67403E+03	4.53194E+03	1.85344E+07	1.01949E+07
2.02000E+00	-8.65156E+03	4.52141E+03	1.83475E+07	1.01226E+07
2.02500E+00	-8.63512E+03	4.51286E+03	1.81878E+07	1.00597E+07
2.03000E+00	-8.61309E+03	4.50221E+03	1.80061E+07	9.98763E+06
2.03500E+00	-8.59405E+03	4.49177E+03	1.78389E+07	9.91751E+06
2.04000E+00	-8.57520E+03	4.48487E+03	1.76737E+07	9.86244E+06
2.04500E+00	-8.55334E+03	4.47344E+03	1.74980E+07	9.78859E+06
2.05000E+00	-8.53344E+03	4.46417E+03	1.73318E+07	9.72421E+06
2.05500E+00	-8.51267E+03	4.45279E+03	1.71638E+07	9.65131E+06
2.06000E+00	-8.48899E+03	4.43956E+03	1.69858E+07	9.57100E+06
2.06500E+00	-8.47073E+03	4.43163E+03	1.68312E+07	9.51388E+06
2.07000E+00	-8.44474E+03	4.41720E+03	1.66474E+07	9.42947E+06
2.07500E+00	-8.42879E+03	4.41160E+03	1.65049E+07	9.38279E+06
2.08000E+00	-8.40448E+03	4.39704E+03	1.63311E+07	9.29919E+06
2.08500E+00	-8.37851E+03	4.38176E+03	1.61527E+07	9.21242E+06
2.09000E+00	-8.35638E+03	4.36891E+03	1.59908E+07	9.13701E+06
2.09500E+00	-8.33150E+03	4.35446E+03	1.58201E+07	9.05558E+06
2.10000E+00	-8.30995E+03	4.34308E+03	1.56636E+07	8.98678E+06
2.10500E+00	-8.28264E+03	4.32270E+03	1.54872E+07	8.88297E+06
2.11000E+00	-8.25789E+03	4.31057E+03	1.53220E+07	8.81165E+06
2.11500E+00	-8.23597E+03	4.30042E+03	1.51689E+07	8.74953E+06
2.12000E+00	-8.20854E+03	4.28103E+03	1.49970E+07	8.65091E+06
2.12500E+00	-8.18182E+03	4.26427E+03	1.48298E+07	8.56374E+06
2.13000E+00	-8.15938E+03	4.25167E+03	1.46795E+07	8.49339E+06
2.13500E+00	-8.13057E+03	4.23284E+03	1.45081E+07	8.39938E+06
2.14000E+00	-8.11064E+03	4.22519E+03	1.43697E+07	8.34943E+06
2.14500E+00	-8.07872E+03	4.20117E+03	1.41908E+07	8.23713E+06
2.15000E+00	-8.04874E+03	4.18102E+03	1.40201E+07	8.13965E+06
2.15500E+00	-8.02452E+03	4.16587E+03	1.38716E+07	8.06240E+06
2.16000E+00	-7.98908E+03	4.13776E+03	1.36858E+07	7.93594E+06
2.16500E+00	-7.95674E+03	4.11043E+03	1.35129E+07	7.81496E+06
2.17000E+00	-7.92841E+03	4.09296E+03	1.33554E+07	7.73277E+06
2.17500E+00	-7.89997E+03	4.07019E+03	1.31989E+07	7.63007E+06
2.18000E+00	-7.85869E+03	4.01998E+03	1.30020E+07	7.43392E+06
2.18500E+00	-7.84127E+03	4.03254E+03	1.28850E+07	7.45582E+06
2.19000E+00	-7.80424E+03	3.99424E+03	1.27057E+07	7.30016E+06
2.19500E+00	-7.77563E+03	3.97408E+03	1.25555E+07	7.21266E+06
2.20000E+00	-7.73812E+03	3.93862E+03	1.23786E+07	7.07058E+06
2.20500E+00	-7.70417E+03	3.90422E+03	1.22147E+07	6.93553E+06
2.21000E+00	-7.66481E+03	3.86223E+03	1.20358E+07	6.77500E+06
2.21500E+00	-7.63026E+03	3.82919E+03	1.18741E+07	6.65173E+06
2.22000E+00	-7.58260E+03	3.76207E+03	1.16741E+07	6.41856E+06
2.22500E+00	-7.54258E+03	3.72021E+03	1.14996E+07	6.26043E+06
2.23000E+00	-7.49926E+03	3.67204E+03	1.13174E+07	6.09717E+06
2.23500E+00	-7.45216E+03	3.55161E+03	1.11267E+07	5.80513E+06
2.24000E+00	-7.41633E+03	3.56656E+03	1.09704E+07	5.74553E+06
2.24500E+00	-7.37650E+03	3.51053E+03	1.08047E+07	5.56959E+06
2.25000E+00	-7.32956E+03	3.46484E+03	1.06203E+07	5.39661E+06
2.25500E+00	-7.27136E+03	3.33197E+03	1.04072E+07	5.03172E+06
2.26000E+00	-7.23017E+03	3.15018E+03	1.02467E+07	4.99773E+06
2.26500E+00	-7.08603E+03	2.41454E+03	9.80258E+06	3.73325E+06
2.27000E+00	-7.11612E+03	3.01086E+03	9.83876E+06	4.23049E+06
2.27500E+00	-7.05284E+03	2.80474E+03	9.62293E+06	5.75085E+06
2.28000E+00	-6.97609E+03	2.47036E+03	9.37497E+06	3.97490E+06
2.28500E+00	-6.93517E+03	2.41223E+03	9.22332E+06	3.65201E+06
2.29000E+00	-6.88069E+03	2.29292E+03	9.04034E+06	4.67398E+06
2.29500E+00	-6.75505E+03	1.48440E+03	8.67353E+06	2.53409E+06
2.30000E+00	-6.73309E+03	1.49004E+03	8.58086E+06	2.43834E+06
