t	E	absM	Cv	chi
2.00000E+00	-3.14169E+03	1.64026E+03	2.46885E+06	1.34591E+06
2.00500E+00	-3.13591E+03	1.63783E+03	2.44756E+06	1.33859E+06
2.01000E+00	-3.12854E+03	1.63428E+03	2.42398E+06	1.32954E+06
2.01500E+00	-3.12275E+03	1.63175E+03	2.40306E+06	1.32213E+06
2.02000E+00	-3.11443E+03	1.62664E+03	2.37852E+06	1.31079E+06
2.02500E+00	-3.10824E+03	1.62433E+03	2.35744E+06	1.30380E+06
2.03000E+00	-3.10040E+03	1.61966E+03	2.33404E+06	1.29329E+06
2.03500E+00	-3.09464E+03	1.61834E+03	2.31399E+06	1.28788E+06
2.04000E+00	-3.08736E+03	1.61423E+03	2.29187E+06	1.27831E+06
2.04500E+00	-3.07964E+03	1.61060E+03	2.26934E+06	1.26950E+06
2.05000E+00	-3.07288E+03	1.60734E+03	2.24841E+06	1.26132E+06
2.05500E+00	-3.06365E+03	1.60208E+03	2.22408E+06	1.25006E+06
2.06000E+00	-3.05565E+03	1.59776E+03	2.20182E+06	1.24048E+06
2.06500E+00	-3.04920E+03	1.59512E+03	2.18197E+06	1.23334E+06
2.07000E+00	-3.04184E+03	1.59195E+03	2.16095E+06	1.22547E+06
2.07500E+00	-3.03410E+03	1.58789E+03	2.13967E+06	1.21634E+06
2.08000E+00	-3.02414E+03	1.58172E+03	2.11552E+06	1.20418E+06
2.08500E+00	-3.01734E+03	1.57841E+03	2.09592E+06	1.19626E+06
2.09000E+00	-3.00805E+03	1.57224E+03	2.07316E+06	1.18452E+06
2.09500E+00	-3.00218E+03	1.57034E+03	2.05521E+06	1.17859E+06
2.10000E+00	-2.99070E+03	1.56328E+03	2.02992E+06	1.16542E+06
2.10500E+00	-2.98397E+03	1.56028E+03	2.01123E+06	1.15816E+06
2.11000E+00	-2.97254E+03	1.55140E+03	1.98647E+06	1.14294E+06
2.11500E+00	-2.96424E+03	1.54729E+03	1.96614E+06	1.13399E+06
2.12000E+00	-2.95577E+03	1.54221E+03	1.94576E+06	1.12413E+06
2.12500E+00	-2.94776E+03	1.53704E+03	1.92614E+06	1.11411E+06
2.13000E+00	-2.94082E+03	1.53536E+03	1.90811E+06	1.10881E+06
2.13500E+00	-2.92886E+03	1.52780E+03	1.88376E+06	1.09536E+06
2.14000E+00	-2.91644E+03	1.51661E+03	1.85926E+06	1.07762E+06
2.14500E+00	-2.90960E+03	1.51422E+03	1.84198E+06	1.07176E+06
2.15000E+00	-2.89759E+03	1.50393E+03	1.81843E+06	1.05558E+06
2.15500E+00	-2.88848E+03	1.49874E+03	1.79863E+06	1.04560E+06
2.16000E+00	-2.87306E+03	1.48223E+03	1.77145E+06	1.02197E+06
2.16500E+00	-2.86362E+03	1.47542E+03	1.75177E+06	1.01095E+06
2.17000E+00	-2.85392E+03	1.47442E+03	1.73183E+06	1.00570E+06
2.17500E+00	-2.84242E+03	1.46235E+03	1.71025E+06	9.88726E+05
2.18000E+00	-2.83522E+03	1.46248E+03	1.69365E+06	9.85105E+05
2.18500E+00	-2.82272E+03	1.44849E+03	1.67123E+06	9.65791E+05
2.19000E+00	-2.81088E+03	1.43983E+03	1.64972E+06	9.51953E+05
2.19500E+00	-2.79373E+03	1.42003E+03	1.62245E+06	9.26550E+05
2.20000E+00	-2.78461E+03	1.41776E+03	1.60454E+06	9.19744E+05
2.20500E+00	-2.77329E+03	1.40212E+03	1.58440E+06	9.00188E+05
2.21000E+00	-2.75300E+03	1.37327E+03	1.55455E+06	8.68890E+05
2.21500E+00	-2.74671E+03	1.38148E+03	1.54029E+06	8.69146E+05
2.22000E+00	-2.73587E+03	1.37283E+03	1.52154E+06	8.59543E+05
2.22500E+00	-2.71591E+03	1.34169E+03	1.49282E+06	8.22477E+05
2.23000E+00	-2.69968E+03	1.32384E+03	1.46849E+06	8.01642E+05
2.23500E+00	-2.69047E+03	1.32249E+03	1.45207E+06	7.97267E+05
2.24000E+00	-2.66926E+03	1.28292E+03	1.42310E+06	7.58247E+05
2.24500E+00	-2.66250E+03	1.28072E+03	1.40960E+06	7.52009E+05
2.25000E+00	-2.63501E+03	1.22844E+03	1.37499E+06	7.06687E+05
2.25500E+00	-2.63091E+03	1.24631E+03	1.36435E+06	7.15791E+05
2.26000E+00	-2.59516E+03	1.12407E+03	1.32262E+06	1.13338E+06
2.26500E+00	-2.57778E+03	1.08185E+03	1.29934E+06	6.44118E+05
2.27000E+00	-2.56918E+03	1.11663E+03	1.28503E+06	1.03768E+06
2.27500E+00	-2.54984E+03	1.08195E+03	1.25999E+06	5.82710E+05
2.28000E+00	-2.52304E+03	1.01306E+03	1.22821E+06	9.31771E+05
2.28500E+00	-2.50940E+03	1.01156E+03	1.20968E+06	8.12387E+05
2.29000E+00	-2.47281E+03	8.29378E+02	1.16996E+06	6.79757E+05
2.29500E+00	-2.47449E+03	9.35079E+02	1.16651E+06	7.49697E+05
2.30000E+00	-2.43771E+03	7.81433E+02	1.12707E+06	6.10356E+05
