t	E	absM	Cv	chi
2.00000E+00	-1.39598E+03	7.28799E+02	4.87774E+05	2.65886E+05
2.00500E+00	-1.39381E+03	7.27864E+02	4.83848E+05	2.64550E+05
2.01000E+00	-1.39104E+03	7.26640E+02	4.79539E+05	2.63012E+05
2.01500E+00	-1.38771E+03	7.25159E+02	4.74895E+05	2.61296E+05
2.02000E+00	-1.38511E+03	7.23761E+02	4.70785E+05	2.59682E+05
2.02500E+00	-1.38124E+03	7.22063E+02	4.65868E+05	2.57824E+05
2.03000E+00	-1.37835E+03	7.20443E+02	4.61663E+05	2.56081E+05
2.03500E+00	-1.37449E+03	7.18737E+02	4.56846E+05	2.54248E+05
2.04000E+00	-1.37190E+03	7.17286E+02	4.52902E+05	2.52631E+05
2.04500E+00	-1.36834E+03	7.15562E+02	4.48363E+05	2.50815E+05
2.05000E+00	-1.36517E+03	7.14080E+02	4.44134E+05	2.49200E+05
2.05500E+00	-1.36260E+03	7.12679E+02	4.40317E+05	2.47658E+05
2.06000E+00	-1.35892E+03	7.11047E+02	4.35844E+05	2.45915E+05
2.06500E+00	-1.35528E+03	7.09210E+02	4.31434E+05	2.44062E+05
2.07000E+00	-1.35224E+03	7.07248E+02	4.27450E+05	2.42225E+05
2.07500E+00	-1.34716E+03	7.03939E+02	4.22227E+05	2.39497E+05
2.08000E+00	-1.34427E+03	7.02857E+02	4.18418E+05	2.38118E+05
2.08500E+00	-1.34247E+03	7.02458E+02	4.15286E+05	2.37258E+05
2.09000E+00	-1.33763E+03	6.99713E+02	4.10351E+05	2.34874E+05
2.09500E+00	-1.33411E+03	6.97925E+02	4.06288E+05	2.33168E+05
2.10000E+00	-1.32963E+03	6.94587E+02	4.01659E+05	2.30558E+05
2.10500E+00	-1.32561E+03	6.92387E+02	3.97367E+05	2.28637E+05
2.11000E+00	-1.32208E+03	6.91158E+02	3.93376E+05	2.27144E+05
2.11500E+00	-1.31723E+03	6.86431E+02	3.88727E+05	2.23886E+05
2.12000E+00	-1.31398E+03	6.86462E+02	3.84965E+05	2.23098E+05
2.12500E+00	-1.31037E+03	6.84038E+02	3.81072E+05	2.21083E+05
2.13000E+00	-1.30542E+03	6.80361E+02	3.76480E+05	2.18422E+05
2.13500E+00	-1.30077E+03	6.76571E+02	3.72073E+05	2.15741E+05
2.14000E+00	-1.29523E+03	6.72695E+02	3.67222E+05	2.12773E+05
2.14500E+00	-1.29408E+03	6.73695E+02	3.64835E+05	2.12692E+05
2.15000E+00	-1.28737E+03	6.68511E+02	3.59468E+05	2.09153E+05
2.15500E+00	-1.28465E+03	6.68038E+02	3.56264E+05	2.08317E+05
2.16000E+00	-1.27809E+03	6.61937E+02	3.51056E+05	2.04331E+05
2.16500E+00	-1.27268E+03	6.57788E+02	3.46543E+05	2.01551E+05
2.17000E+00	-1.26989E+03	6.54911E+02	3.43450E+05	1.99661E+05
2.17500E+00	-1.26438E+03	6.51396E+02	3.38940E+05	1.97089E+05
2.18000E+00	-1.26076E+03	6.48917E+02	3.35474E+05	1.95447E+05
2.18500E+00	-1.25525E+03	6.44264E+02	3.31044E+05	1.92249E+05
2.19000E+00	-1.25101E+03	6.42659E+02	3.27347E+05	1.90855E+05
2.19500E+00	-1.24107E+03	6.29610E+02	3.20838E+05	1.84762E+05
2.20000E+00	-1.23898E+03	6.33890E+02	3.18197E+05	1.84895E+05
2.20500E+00	-1.22778E+03	6.16035E+02	3.11260E+05	1.77759E+05
2.21000E+00	-1.22772E+03	6.20036E+02	3.09774E+05	1.77811E+05
2.21500E+00	-1.22022E+03	6.14265E+02	3.04624E+05	1.73990E+05
2.22000E+00	-1.21326E+03	6.01853E+02	2.99972E+05	1.69287E+05
2.22500E+00	-1.20189E+03	5.78508E+02	2.93213E+05	2.18313E+05
2.23000E+00	-1.20068E+03	5.87616E+02	2.91211E+05	1.63431E+05
2.23500E+00	-1.19814E+03	5.92676E+02	2.88634E+05	1.61975E+05
2.24000E+00	-1.18987E+03	5.77266E+02	2.83557E+05	1.57382E+05
2.24500E+00	-1.18187E+03	5.67476E+02	2.78555E+05	2.38789E+05
2.25000E+00	-1.17030E+03	5.52068E+02	2.72044E+05	2.59610E+05
2.25500E+00	-1.16649E+03	5.46193E+02	2.69044E+05	1.42766E+05
2.26000E+00	-1.15952E+03	5.24677E+02	2.64785E+05	2.54977E+05
2.26500E+00	-1.14886E+03	5.21950E+02	2.58833E+05	2.40770E+05
2.27000E+00	-1.13925E+03	4.95194E+02	2.53420E+05	2.33989E+05
2.27500E+00	-1.14343E+03	5.20876E+02	2.54080E+05	2.22096E+05
2.28000E+00	-1.12825E+03	4.83496E+02	2.46448E+05	2.18894E+05
2.28500E+00	-1.11888E+03	4.67763E+02	2.41393E+05	1.86084E+05
2.29000E+00	-1.10935E+03	4.48142E+02	2.36301E+05	1.82565E+05
2.29500E+00	-1.10240E+03	4.37741E+02	2.32305E+05	1.82518E+05
2.30000E+00	-1.09361E+03	4.16045E+02	2.27641E+05	1.75800E+05
