t	E	absM	Cv	chi
2.00000E+00	-1.71048E+04	8.92968E+03	7.31505E+07	3.98735E+07
2.00500E+00	-1.70701E+04	8.91385E+03	7.24915E+07	3.96332E+07
2.01000E+00	-1.67472E+04	5.45979E+03	6.94587E+07	2.47852E+07
2.01500E+00	-1.69969E+04	8.88061E+03	7.11598E+07	3.91433E+07
2.02000E+00	-1.69616E+04	8.86407E+03	7.05142E+07	3.89013E+07
2.02500E+00	-1.69264E+04	8.84750E+03	6.98753E+07	3.86605E+07
2.03000E+00	-1.68851E+04	8.82706E+03	6.91929E+07	3.83877E+07
2.03500E+00	-1.68485E+04	8.81075E+03	6.85559E+07	3.81520E+07
2.04000E+00	-1.68072E+04	8.78997E+03	6.78858E+07	3.78793E+07
2.04500E+00	-1.67686E+04	8.77132E+03	6.72448E+07	3.76269E+07
2.05000E+00	-1.67223E+04	8.74464E+03	6.65482E+07	3.73077E+07
2.05500E+00	-1.66864E+04	8.72831E+03	6.59411E+07	3.70781E+07
2.06000E+00	-1.66467E+04	8.70969E+03	6.53099E+07	3.68307E+07
2.06500E+00	-1.66024E+04	8.68452E+03	6.46482E+07	3.65302E+07
2.07000E+00	-1.65608E+04	8.66467E+03	6.40151E+07	3.62757E+07
2.07500E+00	-1.65159E+04	8.64098E+03	6.33617E+07	3.59912E+07
2.08000E+00	-1.64582E+04	8.54873E+03	6.26206E+07	3.52926E+07
2.08500E+00	-1.64259E+04	8.58823E+03	6.20738E+07	3.53838E+07
2.09000E+00	-1.63821E+04	8.56648E+03	6.14486E+07	3.51207E+07
2.09500E+00	-1.63352E+04	8.53901E+03	6.08064E+07	3.48133E+07
2.10000E+00	-1.62869E+04	8.51239E+03	6.01602E+07	3.45150E+07
2.10500E+00	-1.62439E+04	8.49020E+03	5.95589E+07	3.42531E+07
2.11000E+00	-1.61955E+04	8.46034E+03	5.89244E+07	3.39332E+07
2.11500E+00	-1.61463E+04	8.43158E+03	5.82904E+07	3.36240E+07
2.12000E+00	-1.60961E+04	8.40292E+03	5.76561E+07	3.33176E+07
2.12500E+00	-1.60446E+04	8.36504E+03	5.70190E+07	3.29418E+07
2.13000E+00	-1.59876E+04	8.32652E+03	5.63492E+07	3.25644E+07
2.13500E+00	-1.59374E+04	8.29514E+03	5.57339E+07	3.22447E+07
2.14000E+00	-1.58842E+04	8.26185E+03	5.51049E+07	3.19126E+07
2.14500E+00	-1.58320E+04	8.22784E+03	5.44890E+07	3.15793E+07
2.15000E+00	-1.57782E+04	8.19119E+03	5.38675E+07	3.12242E+07
2.15500E+00	-1.57152E+04	8.14853E+03	5.31910E+07	3.08298E+07
2.16000E+00	-1.56631E+04	8.11108E+03	5.25949E+07	3.04792E+07
2.16500E+00	-1.56053E+04	8.07275E+03	5.19667E+07	3.01218E+07
2.17000E+00	-1.55437E+04	8.02373E+03	5.13206E+07	2.96930E+07
2.17500E+00	-1.54804E+04	7.97379E+03	5.06698E+07	2.92563E+07
2.18000E+00	-1.54183E+04	7.92024E+03	5.00343E+07	2.88044E+07
2.18500E+00	-1.53560E+04	7.87155E+03	4.94044E+07	2.83876E+07
2.19000E+00	-1.52922E+04	7.80886E+03	4.87721E+07	2.78850E+07
2.19500E+00	-1.52302E+04	7.75927E+03	4.81572E+07	2.74683E+07
2.20000E+00	-1.51594E+04	7.71292E+03	4.74947E+07	2.70783E+07
2.20500E+00	-1.50824E+04	7.61815E+03	4.68008E+07	2.63708E+07
2.21000E+00	-1.50049E+04	7.53337E+03	4.61122E+07	2.57433E+07
2.21500E+00	-1.49353E+04	7.45649E+03	4.54800E+07	2.51767E+07
2.22000E+00	-1.48597E+04	7.38962E+03	4.48181E+07	2.46596E+07
2.22500E+00	-1.48062E+04	7.35861E+03	4.42969E+07	2.44004E+07
2.23000E+00	-1.46922E+04	7.17942E+03	4.34246E+07	2.32120E+07
2.23500E+00	-1.45973E+04	7.01309E+03	4.26744E+07	2.21498E+07
2.24000E+00	-1.45158E+04	6.87823E+03	4.20119E+07	2.13314E+07
2.24500E+00	-1.44595E+04	6.92812E+03	4.14996E+07	2.14915E+07
2.25000E+00	-1.43231E+04	6.48472E+03	4.05455E+07	1.92932E+07
2.25500E+00	-1.42155E+04	6.30927E+03	3.97600E+07	1.80248E+07
2.26000E+00	-1.41904E+04	6.40733E+03	3.94475E+07	1.86948E+07
2.26500E+00	-1.40351E+04	5.95528E+03	3.84168E+07	1.61465E+07
2.27000E+00	-1.39856E+04	6.07460E+03	3.79790E+07	1.65785E+07
2.27500E+00	-1.36494E+04	3.43370E+03	3.60207E+07	1.27562E+07
2.28000E+00	-1.36431E+04	4.36018E+03	3.58323E+07	1.29665E+07
2.28500E+00	-1.34871E+04	3.57477E+03	3.48589E+07	1.31204E+07
2.29000E+00	-1.33468E+04	2.61088E+03	3.39889E+07	7.71252E+06
2.29500E+00	-1.32370E+04	2.41513E+03	3.32846E+07	6.48874E+06
2.30000E+00	-1.31466E+04	1.72482E+03	3.26883E+07	3.23266E+06
