E	N	P
-8.00000E+02	8.69571E+07	8.69571E-01
-7.92000E+02	1.16725E+07	1.16725E-01
-7.88000E+02	4.56497E+05	4.56497E-03
-7.84000E+02	8.17115E+05	8.17115E-03
-7.80000E+02	5.64650E+04	5.64650E-04
-7.76000E+02	3.72340E+04	3.72340E-04
-7.72000E+02	2.20600E+03	2.20600E-05
-7.68000E+02	8.42000E+02	8.42000E-06
-7.64000E+02	5.00000E+00	5.00000E-08
