n	E	absM	accepted
1	-1.20000E+01	4.00000E+00	1
2	-1.20000E+01	4.00000E+00	1
3	-1.20000E+01	4.66667E+00	2
4	-1.30000E+01	4.50000E+00	3
5	-1.36000E+01	4.80000E+00	4
6	-1.40000E+01	4.66667E+00	5
7	-1.42857E+01	4.57143E+00	5
8	-1.50000E+01	4.25000E+00	6
9	-1.55556E+01	4.22222E+00	7
10	-1.60000E+01	4.20000E+00	7
11	-1.67273E+01	4.36364E+00	8
12	-1.73333E+01	4.33333E+00	9
13	-1.81538E+01	4.46154E+00	10
14	-1.88571E+01	4.71429E+00	11
15	-1.94667E+01	4.93333E+00	11
16	-2.00000E+01	5.12500E+00	11
17	-2.04706E+01	5.41176E+00	12
18	-2.06667E+01	5.77778E+00	13
19	-2.08421E+01	6.10526E+00	13
20	-2.10000E+01	6.30000E+00	14
21	-2.11429E+01	6.47619E+00	14
22	-2.12727E+01	6.54545E+00	15
23	-2.15652E+01	6.52174E+00	16
24	-2.18333E+01	6.41667E+00	17
25	-2.20800E+01	6.40000E+00	18
26	-2.23077E+01	6.46154E+00	19
27	-2.25185E+01	6.51852E+00	19
28	-2.27143E+01	6.57143E+00	19
29	-2.28966E+01	6.55172E+00	20
30	-2.30667E+01	6.53333E+00	20
31	-2.32258E+01	6.51613E+00	20
32	-2.33750E+01	6.56250E+00	21
33	-2.35152E+01	6.54545E+00	22
34	-2.36471E+01	6.47059E+00	23
35	-2.37714E+01	6.34286E+00	24
36	-2.38889E+01	6.16667E+00	25
37	-2.41081E+01	6.05405E+00	26
38	-2.43158E+01	5.89474E+00	27
39	-2.46154E+01	5.79487E+00	28
40	-2.50000E+01	5.65000E+00	29
41	-2.54634E+01	5.56098E+00	30
42	-2.59048E+01	5.47619E+00	30
43	-2.63256E+01	5.44186E+00	31
44	-2.66364E+01	5.45455E+00	32
45	-2.69333E+01	5.51111E+00	33
46	-2.72174E+01	5.56522E+00	33
47	-2.74894E+01	5.61702E+00	33
48	-2.77500E+01	5.66667E+00	33
49	-2.80000E+01	5.67347E+00	34
50	-2.82400E+01	5.64000E+00	35
51	-2.83922E+01	5.56863E+00	36
52	-2.86154E+01	5.46154E+00	37
53	-2.89057E+01	5.39623E+00	38
54	-2.91852E+01	5.33333E+00	38
55	-2.94545E+01	5.30909E+00	39
56	-2.97143E+01	5.32143E+00	40
57	-2.99649E+01	5.29825E+00	41
58	-3.03448E+01	5.24138E+00	42
59	-3.07119E+01	5.18644E+00	42
60	-3.11333E+01	5.10000E+00	43
61	-3.15410E+01	5.04918E+00	44
62	-3.19355E+01	5.00000E+00	44
63	-3.23175E+01	4.98413E+00	45
64	-3.26875E+01	4.96875E+00	45
65	-3.30462E+01	4.98462E+00	46
66	-3.34545E+01	4.96970E+00	47
67	-3.38507E+01	4.92537E+00	48
68	-3.42941E+01	4.85294E+00	49
69	-3.47246E+01	4.78261E+00	49
70	-3.52000E+01	4.74286E+00	50
71	-3.56620E+01	4.67606E+00	51
72	-3.61111E+01	4.63889E+00	52
73	-3.65479E+01	4.60274E+00	52
74	-3.70270E+01	4.54054E+00	53
75	-3.75467E+01	4.50667E+00	54
76	-3.80526E+01	4.47368E+00	54
77	-3.85455E+01	4.44156E+00	54
78	-3.91282E+01	4.38462E+00	55
79	-3.96962E+01	4.32911E+00	55
80	-4.02500E+01	4.27500E+00	55
81	-4.07901E+01	4.24691E+00	56
82	-4.13171E+01	4.19512E+00	57
83	-4.18795E+01	4.16867E+00	58
84	-4.24762E+01	4.11905E+00	59
85	-4.31059E+01	4.09412E+00	60
86	-4.37209E+01	4.06977E+00	60
87	-4.43218E+01	4.02299E+00	61
88	-4.49091E+01	3.97727E+00	61
89	-4.54831E+01	3.95506E+00	62
90	-4.60444E+01	3.91111E+00	63
91	-4.65495E+01	3.89011E+00	64
92	-4.70435E+01	3.86957E+00	64
93	-4.75269E+01	3.84946E+00	64
94	-4.80000E+01	3.82979E+00	64
95	-4.84632E+01	3.83158E+00	65
96	-4.89167E+01	3.85417E+00	66
97	-4.93608E+01	3.89691E+00	67
98	-4.97959E+01	3.95918E+00	68
99	-5.02222E+01	4.00000E+00	69
100	-5.06000E+01	4.02000E+00	70
110	-5.45455E+01	3.80000E+00	76
120	-5.83667E+01	3.80000E+00	83
130	-6.20923E+01	3.92308E+00	89
140	-6.57429E+01	3.77143E+00	97
150	-6.91467E+01	3.70667E+00	103
160	-7.25500E+01	3.56250E+00	110
170	-7.56000E+01	3.41176E+00	116
180	-7.78000E+01	3.28889E+00	123
190	-8.06105E+01	3.29474E+00	129
200	-8.39600E+01	3.42000E+00	137
210	-8.76571E+01	3.44762E+00	143
220	-9.11273E+01	3.39091E+00	149
