n	E	absM	accepted
620	-7.17865E+02	3.75426E+02	62
630	-7.16000E+02	3.74689E+02	66
640	-7.14156E+02	3.73972E+02	70
650	-7.12369E+02	3.73268E+02	72
660	-7.10612E+02	3.72585E+02	73
670	-7.08961E+02	3.71949E+02	73
680	-7.07394E+02	3.71315E+02	74
690	-7.05942E+02	3.70704E+02	76
700	-7.04640E+02	3.70143E+02	78
710	-7.03358E+02	3.69617E+02	81
720	-7.02122E+02	3.69111E+02	82
730	-7.00871E+02	3.68595E+02	83
740	-6.99670E+02	3.68086E+02	84
750	-6.98533E+02	3.67616E+02	85
760	-6.97395E+02	3.67155E+02	87
770	-6.96296E+02	3.66722E+02	89
780	-6.95200E+02	3.66269E+02	91
790	-6.94137E+02	3.65820E+02	92
800	-6.93160E+02	3.65410E+02	95
810	-6.92148E+02	3.64993E+02	97
820	-6.91122E+02	3.64549E+02	99
830	-6.90135E+02	3.64140E+02	100
840	-6.89243E+02	3.63767E+02	102
850	-6.88400E+02	3.63402E+02	103
860	-6.87605E+02	3.63070E+02	105
870	-6.86782E+02	3.62736E+02	105
880	-6.85959E+02	3.62400E+02	106
890	-6.85119E+02	3.62054E+02	107
900	-6.84262E+02	3.61698E+02	107
910	-6.83380E+02	3.61327E+02	108
920	-6.82517E+02	3.60974E+02	109
930	-6.81673E+02	3.60624E+02	110
940	-6.80847E+02	3.60272E+02	111
950	-6.80038E+02	3.59897E+02	112
960	-6.79246E+02	3.59525E+02	113
970	-6.78462E+02	3.59190E+02	115
980	-6.77653E+02	3.58847E+02	117
990	-6.76897E+02	3.58529E+02	119
1000	-6.76136E+02	3.58236E+02	122
1100	-6.70876E+02	3.56444E+02	142
1200	-6.66253E+02	3.54867E+02	159
1300	-6.62163E+02	3.52911E+02	180
1400	-6.57549E+02	3.50566E+02	200
1500	-6.51496E+02	3.47740E+02	224
1600	-6.47217E+02	3.45729E+02	240
1700	-6.42231E+02	3.43205E+02	265
1800	-6.36342E+02	3.40086E+02	288
1900	-6.31615E+02	3.37336E+02	308
2000	-6.27670E+02	3.35088E+02	328
2100	-6.24514E+02	3.33070E+02	349
2200	-6.22478E+02	3.31496E+02	369
2300	-6.21553E+02	3.30664E+02	388
2400	-6.21030E+02	3.29958E+02	405
2500	-6.21490E+02	3.29658E+02	411
2600	-6.21895E+02	3.29448E+02	425
2700	-6.22387E+02	3.29382E+02	441
2800	-6.22393E+02	3.29162E+02	465
2900	-6.22407E+02	3.28926E+02	483
3000	-6.22448E+02	3.28851E+02	496
3100	-6.21800E+02	3.28324E+02	505
3200	-6.20894E+02	3.27627E+02	529
3300	-6.19721E+02	3.26670E+02	544
3400	-6.18944E+02	3.25968E+02	558
3500	-6.17912E+02	3.25270E+02	585
3600	-6.16636E+02	3.24562E+02	602
3700	-6.15272E+02	3.23705E+02	619
3800	-6.13778E+02	3.22723E+02	639
3900	-6.12095E+02	3.21367E+02	664
4000	-6.10157E+02	3.19848E+02	690
4100	-6.08100E+02	3.18106E+02	718
4200	-6.05601E+02	3.15912E+02	748
4300	-6.02913E+02	3.13722E+02	778
4400	-6.00311E+02	3.11806E+02	806
4500	-5.98550E+02	3.10212E+02	826
4600	-5.96608E+02	3.08495E+02	845
4700	-5.94311E+02	3.06696E+02	865
4800	-5.92183E+02	3.05098E+02	897
4900	-5.90363E+02	3.03817E+02	923
5000	-5.88288E+02	3.02345E+02	950
5100	-5.86115E+02	3.01002E+02	972
5200	-5.83971E+02	2.99614E+02	995
5300	-5.82026E+02	2.98203E+02	1032
5400	-5.80188E+02	2.96737E+02	1058
5500	-5.78463E+02	2.95340E+02	1095
5600	-5.76970E+02	2.94012E+02	1123
5700	-5.75370E+02	2.92786E+02	1152
5800	-5.73782E+02	2.91766E+02	1180
5900	-5.71963E+02	2.90706E+02	1202
6000	-5.70017E+02	2.89610E+02	1232
6100	-5.67911E+02	2.88423E+02	1267
6200	-5.65642E+02	2.87159E+02	1296
6300	-5.63246E+02	2.86144E+02	1326
6400	-5.61221E+02	2.85196E+02	1364
6500	-5.59313E+02	2.84234E+02	1394
6600	-5.57564E+02	2.83385E+02	1429
6700	-5.55973E+02	2.82800E+02	1468
6800	-5.54993E+02	2.82549E+02	1501
6900	-5.54144E+02	2.82374E+02	1532
7000	-5.52997E+02	2.82057E+02	1557
7100	-5.51881E+02	2.81639E+02	1585
7200	-5.50497E+02	2.81158E+02	1614
7300	-5.48914E+02	2.80503E+02	1646
7400	-5.47363E+02	2.79716E+02	1676
7500	-5.45876E+02	2.78966E+02	1710
7600	-5.44679E+02	2.78428E+02	1739
7700	-5.43643E+02	2.77907E+02	1770
7800	-5.42795E+02	2.77480E+02	1796
7900	-5.41788E+02	2.76892E+02	1832
8000	-5.40878E+02	2.76253E+02	1864
8100	-5.40360E+02	2.75706E+02	1891
8200	-5.39766E+02	2.75201E+02	1917
8300	-5.39050E+02	2.74736E+02	1941
8400	-5.38221E+02	2.74266E+02	1970
8500	-5.37104E+02	2.73655E+02	2006
8600	-5.36079E+02	2.73052E+02	2032
8700	-5.35113E+02	2.72380E+02	2060
8800	-5.34393E+02	2.71777E+02	2086
8900	-5.33925E+02	2.71254E+02	2106
9000	-5.33476E+02	2.70717E+02	2131
9100	-5.33121E+02	2.70382E+02	2161
9200	-5.33003E+02	2.70235E+02	2185
9300	-5.32887E+02	2.70037E+02	2209
9400	-5.32586E+02	2.69719E+02	2238
9500	-5.32088E+02	2.69469E+02	2264
9600	-5.31549E+02	2.69162E+02	2298
9700	-5.30919E+02	2.68863E+02	2320
9800	-5.30323E+02	2.68705E+02	2346
9900	-5.29499E+02	2.68457E+02	2374
10000	-5.28666E+02	2.68114E+02	2406
11000	-5.20087E+02	2.63702E+02	2721
12000	-5.18498E+02	2.61699E+02	2947
13000	-5.19138E+02	2.60554E+02	3201
14000	-5.19632E+02	2.59899E+02	3441
15000	-5.21995E+02	2.59280E+02	3670
16000	-5.19845E+02	2.56490E+02	3924
17000	-5.14691E+02	2.51565E+02	4259
18000	-5.12789E+02	2.49896E+02	4551
19000	-5.12967E+02	2.48951E+02	4800
20000	-5.14675E+02	2.48395E+02	5010
21000	-5.15904E+02	2.47903E+02	5229
