body	t	x	y	z
8	2.000E-01	1.834E+01	7.844E+00	-2.084E-01
9	2.000E-01	2.834E+01	-9.677E+00	-4.539E-01
0	2.250E-01	3.355E-03	4.021E-03	-1.555E-04
1	2.250E-01	-3.863E-01	-1.443E-02	1.321E-02
2	2.250E-01	2.395E-01	6.851E-01	-4.442E-03
3	2.250E-01	-3.960E-01	9.028E-01	-1.865E-04
4	2.250E-01	-3.977E-01	9.047E-01	-2.724E-04
5	2.250E-01	1.302E+00	5.799E-01	-1.996E-02
6	2.250E-01	-5.338E+00	-1.102E+00	1.240E-01
7	2.250E-01	-1.797E+00	-9.879E+00	2.433E-01
8	2.250E-01	1.832E+01	7.875E+00	-2.081E-01
9	2.250E-01	2.835E+01	-9.650E+00	-4.547E-01
0	2.500E-01	3.331E-03	4.082E-03	-1.550E-04
1	2.500E-01	-3.562E-01	-2.428E-01	-9.042E-03
2	2.500E-01	5.849E-02	7.218E-01	6.503E-03
3	2.500E-01	-5.364E-01	8.272E-01	-1.865E-04
4	2.500E-01	-5.375E-01	8.247E-01	5.978E-05
5	2.500E-01	1.250E+00	7.051E-01	-1.606E-02
6	2.500E-01	-5.325E+00	-1.166E+00	1.239E-01
7	2.500E-01	-1.749E+00	-9.889E+00	2.415E-01
8	2.500E-01	1.831E+01	7.907E+00	-2.078E-01
9	2.500E-01	2.836E+01	-9.623E+00	-4.555E-01
0	2.750E-01	3.305E-03	4.143E-03	-1.545E-04
1	2.750E-01	-2.188E-01	-4.007E-01	-2.895E-02
2	2.750E-01	-1.261E-01	7.112E-01	1.701E-02
3	2.750E-01	-6.628E-01	7.302E-01	-1.774E-04
4	2.750E-01	-6.603E-01	7.302E-01	-2.852E-04
5	2.750E-01	1.187E+00	8.243E-01	-1.201E-02
6	2.750E-01	-5.310E+00	-1.230E+00	1.239E-01
7	2.750E-01	-1.702E+00	-9.897E+00	2.398E-01
8	2.750E-01	1.829E+01	7.938E+00	-2.075E-01
9	2.750E-01	2.837E+01	-9.595E+00	-4.563E-01
0	3.000E-01	3.278E-03	4.203E-03	-1.539E-04
1	3.000E-01	-2.571E-02	-4.591E-01	-4.181E-02
2	3.000E-01	-3.022E-01	6.541E-01	2.638E-02
3	3.000E-01	-7.721E-01	6.146E-01	-1.721E-04
4	3.000E-01	-7.737E-01	6.165E-01	-2.656E-04
5	3.000E-01	1.114E+00	9.368E-01	-7.874E-03
6	3.000E-01	-5.295E+00	-1.294E+00	1.238E-01
7	3.000E-01	-1.655E+00	-9.906E+00	2.381E-01
8	3.000E-01	1.828E+01	7.969E+00	-2.072E-01
9	3.000E-01	2.838E+01	-9.568E+00	-4.570E-01
0	3.250E-01	3.251E-03	4.264E-03	-1.534E-04
1	3.250E-01	1.739E-01	-4.053E-01	-4.457E-02
2	3.250E-01	-4.580E-01	5.539E-01	3.400E-02
3	3.250E-01	-8.615E-01	4.834E-01	-1.703E-04
4	3.250E-01	-8.627E-01	4.809E-01	7.973E-05
5	3.250E-01	1.032E+00	1.042E+00	-3.671E-03
6	3.250E-01	-5.279E+00	-1.357E+00	1.237E-01
7	3.250E-01	-1.607E+00	-9.915E+00	2.363E-01
8	3.250E-01	1.826E+01	8.000E+00	-2.069E-01
9	3.250E-01	2.839E+01	-9.541E+00	-4.578E-01
0	3.500E-01	3.223E-03	4.324E-03	-1.528E-04
1	3.500E-01	3.245E-01	-2.395E-01	-3.509E-02
2	3.500E-01	-5.834E-01	4.173E-01	3.936E-02
3	3.500E-01	-9.289E-01	3.399E-01	-1.596E-04
4	3.500E-01	-9.264E-01	3.399E-01	-2.656E-04
5	3.500E-01	9.427E-01	1.139E+00	5.594E-04
6	3.500E-01	-5.263E+00	-1.421E+00	1.236E-01
7	3.500E-01	-1.560E+00	-9.923E+00	2.346E-01
8	3.500E-01	1.825E+01	8.032E+00	-2.066E-01
9	3.500E-01	2.840E+01	-9.513E+00	-4.586E-01
0	3.750E-01	3.194E-03	4.385E-03	-1.522E-04
1	3.750E-01	3.545E-01	1.121E-02	-1.311E-02
2	3.750E-01	-6.699E-01	2.535E-01	4.210E-02
3	3.750E-01	-9.726E-01	1.879E-01	-1.530E-04
4	3.750E-01	-9.742E-01	1.898E-01	-2.496E-04
5	3.750E-01	8.456E-01	1.227E+00	4.785E-03
6	3.750E-01	-5.245E+00	-1.484E+00	1.235E-01
7	3.750E-01	-1.512E+00	-9.931E+00	2.328E-01
8	3.750E-01	1.823E+01	8.063E+00	-2.063E-01
9	3.750E-01	2.841E+01	-9.486E+00	-4.594E-01
0	4.000E-01	3.163E-03	4.444E-03	-1.515E-04
1	4.000E-01	1.945E-01	2.478E-01	1.491E-02
2	4.000E-01	-7.120E-01	7.316E-02	4.206E-02
3	4.000E-01	-9.919E-01	3.132E-02	-1.503E-04
4	4.000E-01	-9.931E-01	2.890E-02	9.712E-05
5	4.000E-01	7.422E-01	1.305E+00	8.973E-03
6	4.000E-01	-5.227E+00	-1.547E+00	1.233E-01
7	4.000E-01	-1.465E+00	-9.938E+00	2.310E-01
8	4.000E-01	1.822E+01	8.094E+00	-2.060E-01
9	4.000E-01	2.842E+01	-9.459E+00	-4.601E-01
0	4.250E-01	3.132E-03	4.504E-03	-1.508E-04
1	4.250E-01	-1.031E-01	2.974E-01	3.100E-02
2	4.250E-01	-7.070E-01	-1.117E-01	3.923E-02
3	4.250E-01	-9.863E-01	-1.260E-01	-1.393E-04
4	4.250E-01	-9.839E-01	-1.260E-01	-2.379E-04
5	4.250E-01	6.333E-01	1.375E+00	1.309E-02
6	4.250E-01	-5.208E+00	-1.609E+00	1.231E-01
7	4.250E-01	-1.417E+00	-9.946E+00	2.293E-01
8	4.250E-01	1.820E+01	8.125E+00	-2.057E-01
9	4.250E-01	2.842E+01	-9.431E+00	-4.609E-01
0	4.500E-01	3.100E-03	4.564E-03	-1.501E-04
1	4.500E-01	-3.314E-01	1.300E-01	2.437E-02
2	4.500E-01	-6.554E-01	-2.889E-01	3.383E-02
3	4.500E-01	-9.562E-01	-2.800E-01	-1.326E-04
4	4.500E-01	-9.578E-01	-2.781E-01	-2.228E-04
5	4.500E-01	5.199E-01	1.434E+00	1.712E-02
6	4.500E-01	-5.188E+00	-1.672E+00	1.230E-01
7	4.500E-01	-1.369E+00	-9.953E+00	2.275E-01
8	4.500E-01	1.819E+01	8.156E+00	-2.054E-01
9	4.500E-01	2.843E+01	-9.404E+00	-4.617E-01
0	4.750E-01	3.068E-03	4.623E-03	-1.494E-04
1	4.750E-01	-3.910E-01	-1.113E-01	4.387E-03
2	4.750E-01	-5.609E-01	-4.470E-01	2.620E-02
3	4.750E-01	-9.025E-01	-4.270E-01	-1.301E-04
4	4.750E-01	-9.037E-01	-4.295E-01	1.110E-04
5	4.750E-01	4.029E-01	1.483E+00	2.102E-02
6	4.750E-01	-5.167E+00	-1.734E+00	1.227E-01
7	4.750E-01	-1.322E+00	-9.960E+00	2.257E-01
8	4.750E-01	1.817E+01	8.187E+00	-2.051E-01
9	4.750E-01	2.844E+01	-9.377E+00	-4.624E-01
0	5.000E-01	3.034E-03	4.681E-03	-1.486E-04
1	5.000E-01	-3.111E-01	-3.165E-01	-1.766E-02
2	5.000E-01	-4.298E-01	-5.758E-01	1.686E-02
3	5.000E-01	-8.268E-01	-5.636E-01	-1.201E-04
4	5.000E-01	-8.243E-01	-5.637E-01	-2.148E-04
5	5.000E-01	2.831E-01	1.522E+00	2.478E-02
6	5.000E-01	-5.145E+00	-1.796E+00	1.225E-01
7	5.000E-01	-1.274E+00	-9.967E+00	2.239E-01
8	5.000E-01	1.816E+01	8.218E+00	-2.048E-01
9	5.000E-01	2.845E+01	-9.349E+00	-4.632E-01
0	5.250E-01	2.999E-03	4.740E-03	-1.479E-04
1	5.250E-01	-1.453E-01	-4.366E-01	-3.516E-02
2	5.250E-01	-2.707E-01	-6.671E-01	6.428E-03
3	5.250E-01	-7.309E-01	-6.864E-01	-1.149E-04
4	5.250E-01	-7.325E-01	-6.845E-01	-1.930E-04
5	5.250E-01	1.614E-01	1.551E+00	2.838E-02
6	5.250E-01	-5.123E+00	-1.858E+00	1.223E-01
7	5.250E-01	-1.226E+00	-9.973E+00	2.221E-01
8	5.250E-01	1.814E+01	8.249E+00	-2.045E-01
9	5.250E-01	2.846E+01	-9.322E+00	-4.640E-01
0	5.500E-01	2.963E-03	4.797E-03	-1.471E-04
1	5.500E-01	5.639E-02	-4.506E-01	-4.426E-02
2	5.500E-01	-9.395E-02	-7.152E-01	-4.431E-03
3	5.500E-01	-6.174E-01	-7.925E-01	-1.140E-04
4	5.500E-01	-6.186E-01	-7.949E-01	1.227E-04
5	5.500E-01	3.871E-02	1.570E+00	3.178E-02
6	5.500E-01	-5.100E+00	-1.919E+00	1.220E-01
7	5.500E-01	-1.178E+00	-9.979E+00	2.203E-01
8	5.500E-01	1.813E+01	8.280E+00	-2.041E-01
9	5.500E-01	2.847E+01	-9.294E+00	-4.647E-01
0	5.750E-01	2.927E-03	4.854E-03	-1.463E-04
1	5.750E-01	2.437E-01	-3.508E-01	-4.229E-02
2	5.750E-01	8.896E-02	-7.172E-01	-1.502E-02
3	5.750E-01	-4.891E-01	-8.797E-01	-1.061E-04
4	5.750E-01	-4.866E-01	-8.799E-01	-2.054E-04
5	5.750E-01	-8.423E-02	1.579E+00	3.498E-02
6	5.750E-01	-5.076E+00	-1.980E+00	1.217E-01
7	5.750E-01	-1.131E+00	-9.985E+00	2.185E-01
8	5.750E-01	1.811E+01	8.311E+00	-2.038E-01
9	5.750E-01	2.848E+01	-9.267E+00	-4.655E-01
0	6.000E-01	2.890E-03	4.911E-03	-1.454E-04
1	6.000E-01	3.553E-01	-1.447E-01	-2.759E-02
2	6.000E-01	2.664E-01	-6.732E-01	-2.465E-02
3	6.000E-01	-3.490E-01	-9.458E-01	-1.036E-04
4	6.000E-01	-3.506E-01	-9.439E-01	-1.718E-04
5	6.000E-01	-2.066E-01	1.578E+00	3.796E-02
6	6.000E-01	-5.052E+00	-2.041E+00	1.214E-01
7	6.000E-01	-1.083E+00	-9.991E+00	2.167E-01
8	6.000E-01	1.810E+01	8.342E+00	-2.035E-01
9	6.000E-01	2.849E+01	-9.240E+00	-4.663E-01
0	6.250E-01	2.852E-03	4.967E-03	-1.446E-04
1	6.250E-01	3.142E-01	1.183E-01	-1.723E-03
2	6.250E-01	4.271E-01	-5.860E-01	-3.273E-02
3	6.250E-01	-2.007E-01	-9.894E-01	-1.053E-04
4	6.250E-01	-2.019E-01	-9.918E-01	1.321E-04
5	6.250E-01	-3.277E-01	1.567E+00	4.071E-02
6	6.250E-01	-5.026E+00	-2.101E+00	1.211E-01
7	6.250E-01	-1.035E+00	-9.997E+00	2.149E-01
8	6.250E-01	1.808E+01	8.373E+00	-2.032E-01
9	6.250E-01	2.849E+01	-9.212E+00	-4.670E-01
