t	x	y	angle
4.4295E+01	3.0750E-01	-1.2056E-06	-2.2464E-04
4.4535E+01	3.0750E-01	1.9654E-06	3.6621E-04
4.5258E+01	3.0750E-01	-9.6142E-07	-1.7914E-04
4.5498E+01	3.0750E-01	2.2096E-06	4.1172E-04
4.6220E+01	3.0750E-01	-7.1722E-07	-1.3364E-04
4.6461E+01	3.0750E-01	2.4538E-06	4.5722E-04
4.7183E+01	3.0750E-01	-4.7301E-07	-8.8134E-05
4.7424E+01	3.0750E-01	2.6980E-06	5.0272E-04
4.8146E+01	3.0750E-01	-2.2880E-07	-4.2631E-05
4.8387E+01	3.0750E-01	2.9423E-06	5.4822E-04
4.8869E+01	3.0750E-01	-3.1556E-06	-5.8798E-04
4.9109E+01	3.0750E-01	1.5420E-08	2.8731E-06
4.9831E+01	3.0750E-01	-2.9114E-06	-5.4248E-04
5.0072E+01	3.0750E-01	2.5963E-07	4.8377E-05
5.0794E+01	3.0750E-01	-2.6672E-06	-4.9697E-04
5.1035E+01	3.0750E-01	5.0385E-07	9.3881E-05
5.1757E+01	3.0750E-01	-2.4230E-06	-4.5147E-04
5.1998E+01	3.0750E-01	7.4806E-07	1.3939E-04
5.2720E+01	3.0750E-01	-2.1788E-06	-4.0597E-04
5.2961E+01	3.0750E-01	9.9228E-07	1.8489E-04
5.3683E+01	3.0750E-01	-1.9346E-06	-3.6046E-04
5.3924E+01	3.0750E-01	1.2365E-06	2.3039E-04
5.4646E+01	3.0750E-01	-1.6903E-06	-3.1496E-04
5.4887E+01	3.0750E-01	1.4807E-06	2.7590E-04
5.5609E+01	3.0750E-01	-1.4461E-06	-2.6945E-04
5.5850E+01	3.0750E-01	1.7249E-06	3.2140E-04
5.6572E+01	3.0750E-01	-1.2019E-06	-2.2395E-04
5.6813E+01	3.0750E-01	1.9692E-06	3.6691E-04
5.7535E+01	3.0750E-01	-9.5767E-07	-1.7844E-04
5.7776E+01	3.0750E-01	2.2134E-06	4.1242E-04
5.8498E+01	3.0750E-01	-7.1345E-07	-1.3294E-04
5.8739E+01	3.0750E-01	2.4576E-06	4.5792E-04
5.9461E+01	3.0750E-01	-4.6923E-07	-8.7430E-05
5.9701E+01	3.0750E-01	2.7018E-06	5.0343E-04
6.0183E+01	3.0750E-01	-3.3961E-06	-6.3278E-04
6.0424E+01	3.0750E-01	-2.2500E-07	-4.1924E-05
6.0664E+01	3.0750E-01	2.9461E-06	5.4893E-04
6.1146E+01	3.0750E-01	-3.1518E-06	-5.8727E-04
6.1387E+01	3.0750E-01	1.9217E-08	3.5806E-06
6.1627E+01	3.0750E-01	3.1903E-06	5.9444E-04
6.2109E+01	3.0750E-01	-2.9076E-06	-5.4177E-04
6.2350E+01	3.0750E-01	2.6344E-07	4.9086E-05
6.3072E+01	3.0750E-01	-2.6634E-06	-4.9626E-04
6.3312E+01	3.0750E-01	5.0766E-07	9.4591E-05
6.4035E+01	3.0750E-01	-2.4192E-06	-4.5076E-04
6.4275E+01	3.0750E-01	7.5189E-07	1.4010E-04
6.4998E+01	3.0750E-01	-2.1749E-06	-4.0525E-04
6.5238E+01	3.0750E-01	9.9611E-07	1.8560E-04
6.5960E+01	3.0750E-01	-1.9307E-06	-3.5975E-04
6.6201E+01	3.0750E-01	1.2403E-06	2.3111E-04
6.6923E+01	3.0750E-01	-1.6865E-06	-3.1424E-04
6.7164E+01	3.0750E-01	1.4846E-06	2.7661E-04
6.7886E+01	3.0750E-01	-1.4423E-06	-2.6874E-04
6.8127E+01	3.0750E-01	1.7288E-06	3.2212E-04
6.8849E+01	3.0750E-01	-1.1980E-06	-2.2323E-04
6.9090E+01	3.0750E-01	1.9730E-06	3.6763E-04
6.9812E+01	3.0750E-01	-9.5382E-07	-1.7772E-04
7.0053E+01	3.0750E-01	2.2172E-06	4.1313E-04
7.0775E+01	3.0750E-01	-7.0958E-07	-1.3221E-04
7.1016E+01	3.0750E-01	2.4615E-06	4.5864E-04
7.1738E+01	3.0750E-01	-4.6535E-07	-8.6707E-05
7.1979E+01	3.0750E-01	2.7057E-06	5.0415E-04
7.2460E+01	3.0750E-01	-3.3922E-06	-6.3206E-04
7.2701E+01	3.0750E-01	-2.2111E-07	-4.1199E-05
7.2942E+01	3.0750E-01	2.9500E-06	5.4966E-04
7.3423E+01	3.0750E-01	-3.1479E-06	-5.8655E-04
7.3664E+01	3.0750E-01	2.3132E-08	4.3102E-06
7.3905E+01	3.0750E-01	3.1942E-06	5.9517E-04
7.4386E+01	3.0750E-01	-2.9037E-06	-5.4104E-04
7.4627E+01	3.0750E-01	2.6738E-07	4.9820E-05
7.5349E+01	3.0750E-01	-2.6594E-06	-4.9553E-04
7.5590E+01	3.0750E-01	5.1162E-07	9.5329E-05
7.6312E+01	3.0750E-01	-2.4152E-06	-4.5002E-04
7.6553E+01	3.0750E-01	7.5586E-07	1.4084E-04
7.7275E+01	3.0750E-01	-2.1710E-06	-4.0451E-04
7.7516E+01	3.0750E-01	1.0001E-06	1.8635E-04
7.8238E+01	3.0750E-01	-1.9267E-06	-3.5900E-04
7.8479E+01	3.0750E-01	1.2443E-06	2.3185E-04
7.9201E+01	3.0750E-01	-1.6825E-06	-3.1349E-04
7.9441E+01	3.0750E-01	1.4886E-06	2.7736E-04
8.0164E+01	3.0750E-01	-1.4383E-06	-2.6799E-04
8.0404E+01	3.0750E-01	1.7328E-06	3.2287E-04
8.1127E+01	3.0750E-01	-1.1940E-06	-2.2248E-04
8.1367E+01	3.0750E-01	1.9770E-06	3.6838E-04
8.2090E+01	3.0750E-01	-9.4979E-07	-1.7697E-04
8.2330E+01	3.0750E-01	2.2213E-06	4.1388E-04
8.3052E+01	3.0750E-01	-7.0556E-07	-1.3147E-04
8.3293E+01	3.0750E-01	2.4655E-06	4.5939E-04
8.4015E+01	3.0750E-01	-4.6133E-07	-8.5959E-05
8.4256E+01	3.0750E-01	2.7097E-06	5.0490E-04
8.4738E+01	3.0750E-01	-3.3882E-06	-6.3131E-04
8.4978E+01	3.0750E-01	-2.1710E-07	-4.0451E-05
8.5219E+01	3.0750E-01	2.9540E-06	5.5040E-04
8.5701E+01	3.0750E-01	-3.1439E-06	-5.8580E-04
8.5941E+01	3.0750E-01	2.7133E-08	5.0555E-06
8.6182E+01	3.0750E-01	3.1982E-06	5.9591E-04
8.6663E+01	3.0750E-01	-2.8997E-06	-5.4029E-04
8.6904E+01	3.0750E-01	2.7137E-07	5.0563E-05
8.7626E+01	3.0750E-01	-2.6555E-06	-4.9479E-04
8.7867E+01	3.0750E-01	5.1560E-07	9.6070E-05
8.8589E+01	3.0750E-01	-2.4112E-06	-4.4928E-04
8.8830E+01	3.0750E-01	7.5983E-07	1.4158E-04
8.9552E+01	3.0750E-01	-2.1670E-06	-4.0377E-04
8.9793E+01	3.0750E-01	1.0041E-06	1.8708E-04
9.0515E+01	3.0750E-01	-1.9228E-06	-3.5826E-04
9.0756E+01	3.0750E-01	1.2483E-06	2.3259E-04
9.1478E+01	3.0750E-01	-1.6785E-06	-3.1276E-04
9.1719E+01	3.0750E-01	1.4925E-06	2.7810E-04
9.2441E+01	3.0750E-01	-1.4343E-06	-2.6725E-04
9.2682E+01	3.0750E-01	1.7368E-06	3.2361E-04
9.3404E+01	3.0750E-01	-1.1901E-06	-2.2174E-04
9.3645E+01	3.0750E-01	1.9810E-06	3.6911E-04
9.4367E+01	3.0750E-01	-9.4584E-07	-1.7624E-04
9.4608E+01	3.0750E-01	2.2252E-06	4.1462E-04
9.5330E+01	3.0750E-01	-7.0161E-07	-1.3073E-04
9.5571E+01	3.0750E-01	2.4695E-06	4.6013E-04
9.6052E+01	3.0750E-01	-3.6284E-06	-6.7608E-04
9.6293E+01	3.0750E-01	-4.5737E-07	-8.5220E-05
9.6533E+01	3.0750E-01	2.7137E-06	5.0564E-04
9.7015E+01	3.0750E-01	-3.3842E-06	-6.3057E-04
9.7256E+01	3.0750E-01	-2.1313E-07	-3.9712E-05
9.7496E+01	3.0750E-01	2.9579E-06	5.5114E-04
9.7978E+01	3.0750E-01	-3.1399E-06	-5.8506E-04
9.8219E+01	3.0750E-01	3.1111E-08	5.7969E-06
9.8459E+01	3.0750E-01	3.2022E-06	5.9665E-04
9.8941E+01	3.0750E-01	-2.8957E-06	-5.3955E-04
9.9181E+01	3.0750E-01	2.7535E-07	5.1306E-05
9.9904E+01	3.0750E-01	-2.6515E-06	-4.9404E-04
