x	v
0	0.00903
0.000999	0.018
0.002	0.0268
0.003	0.0355
0.004	0.0442
0.005	0.0527
0.00599	0.0612
0.00699	0.0695
0.00799	0.0778
0.00899	0.0859
0.00999	0.094
0.011	0.102
0.012	0.11
0.013	0.118
0.014	0.125
0.015	0.133
0.016	0.141
0.017	0.148
0.018	0.155
0.019	0.163
0.02	0.17
0.021	0.177
0.022	0.184
0.023	0.191
0.024	0.198
0.025	0.205
0.026	0.212
0.027	0.218
0.028	0.225
0.029	0.231
0.03	0.238
0.031	0.244
0.032	0.25
0.033	0.257
0.034	0.263
0.035	0.269
0.036	0.275
0.037	0.281
0.038	0.287
0.039	0.292
0.04	0.298
0.041	0.304
0.042	0.309
0.043	0.315
0.044	0.32
0.045	0.326
0.046	0.331
0.047	0.336
0.048	0.342
0.049	0.347
0.05	0.352
0.0509	0.357
0.0519	0.362
0.0529	0.367
0.0539	0.372
0.0549	0.376
0.0559	0.381
0.0569	0.386
0.0579	0.39
0.0589	0.395
0.0599	0.399
0.0609	0.404
0.0619	0.408
0.0629	0.413
0.0639	0.417
0.0649	0.421
0.0659	0.425
0.0669	0.429
0.0679	0.434
0.0689	0.438
0.0699	0.442
0.0709	0.445
0.0719	0.449
0.0729	0.453
0.0739	0.457
0.0749	0.461
0.0759	0.464
0.0769	0.468
0.0779	0.472
0.0789	0.475
0.0799	0.479
0.0809	0.482
0.0819	0.486
0.0829	0.489
0.0839	0.492
0.0849	0.496
0.0859	0.499
0.0869	0.502
0.0879	0.505
0.0889	0.508
0.0899	0.511
0.0909	0.514
0.0919	0.517
0.0929	0.52
0.0939	0.523
0.0949	0.526
0.0959	0.529
0.0969	0.532
0.0979	0.535
0.0989	0.537
0.0999	0.54
0.101	0.543
0.102	0.545
0.103	0.548
0.104	0.55
0.105	0.553
0.106	0.555
0.107	0.558
0.108	0.56
0.109	0.563
0.11	0.565
0.111	0.567
0.112	0.569
0.113	0.572
0.114	0.574
0.115	0.576
0.116	0.578
0.117	0.58
0.118	0.582
0.119	0.584
0.12	0.587
0.121	0.589
0.122	0.59
0.123	0.592
0.124	0.594
0.125	0.596
0.126	0.598
0.127	0.6
0.128	0.602
0.129	0.603
0.13	0.605
0.131	0.607
0.132	0.608
0.133	0.61
0.134	0.612
0.135	0.613
0.136	0.615
0.137	0.616
0.138	0.618
0.139	0.619
0.14	0.621
0.141	0.622
0.142	0.624
0.143	0.625
0.144	0.627
0.145	0.628
0.146	0.629
0.147	0.631
0.148	0.632
0.149	0.633
0.15	0.634
0.151	0.636
0.152	0.637
0.153	0.638
0.154	0.639
0.155	0.64
0.156	0.641
0.157	0.642
0.158	0.643
0.159	0.645
0.16	0.646
0.161	0.647
0.162	0.648
0.163	0.648
0.164	0.649
0.165	0.65
0.166	0.651
0.167	0.652
0.168	0.653
0.169	0.654
0.17	0.655
0.171	0.655
0.172	0.656
0.173	0.657
0.174	0.658
0.175	0.659
0.176	0.659
0.177	0.66
0.178	0.661
0.179	0.661
0.18	0.662
0.181	0.663
0.182	0.663
0.183	0.664
0.184	0.664
0.185	0.665
0.186	0.666
0.187	0.666
0.188	0.667
0.189	0.667
0.19	0.668
0.191	0.668
0.192	0.669
0.193	0.669
0.194	0.669
0.195	0.67
0.196	0.67
0.197	0.671
0.198	0.671
0.199	0.671
0.2	0.672
0.201	0.672
0.202	0.672
0.203	0.673
0.204	0.673
0.205	0.673
0.206	0.674
0.207	0.674
0.208	0.674
0.209	0.674
0.21	0.675
0.211	0.675
0.212	0.675
0.213	0.675
0.214	0.675
0.215	0.676
0.216	0.676
0.217	0.676
0.218	0.676
0.219	0.676
0.22	0.676
0.221	0.676
0.222	0.676
0.223	0.676
0.224	0.677
0.225	0.677
0.226	0.677
0.227	0.677
0.228	0.677
0.229	0.677
0.23	0.677
0.231	0.677
0.232	0.677
0.233	0.677
0.234	0.677
0.235	0.677
0.236	0.677
0.237	0.676
0.238	0.676
0.239	0.676
0.24	0.676
0.241	0.676
0.242	0.676
0.243	0.676
0.244	0.676
0.245	0.676
0.246	0.675
0.247	0.675
0.248	0.675
0.249	0.675
0.25	0.675
0.251	0.675
0.252	0.674
0.253	0.674
0.254	0.674
0.255	0.674
0.256	0.673
0.257	0.673
0.258	0.673
0.259	0.673
0.26	0.672
0.261	0.672
0.262	0.672
0.263	0.672
0.264	0.671
0.265	0.671
0.266	0.671
0.267	0.67
0.268	0.67
0.269	0.67
0.27	0.669
0.271	0.669
0.272	0.669
0.273	0.668
0.274	0.668
0.275	0.668
0.276	0.667
0.277	0.667
0.278	0.667
0.279	0.666
0.28	0.666
0.281	0.665
0.282	0.665
0.283	0.665
0.284	0.664
0.285	0.664
0.286	0.663
0.287	0.663
0.288	0.662
0.289	0.662
0.29	0.662
0.291	0.661
0.292	0.661
0.293	0.66
0.294	0.66
0.295	0.659
0.296	0.659
0.297	0.658
0.298	0.658
0.299	0.657
0.3	0.657
0.301	0.656
0.302	0.656
0.303	0.655
0.304	0.655
0.305	0.654
0.306	0.654
0.307	0.653
0.308	0.652
0.309	0.652
0.31	0.651
0.311	0.651
0.312	0.65
0.313	0.65
0.314	0.649
0.315	0.649
0.316	0.648
0.317	0.647
0.318	0.647
0.319	0.646
0.32	0.646
0.321	0.645
0.322	0.644
0.323	0.644
0.324	0.643
0.325	0.643
0.326	0.642
0.327	0.641
0.328	0.641
0.329	0.64
0.33	0.639
0.331	0.639
0.332	0.638
0.333	0.637
0.334	0.637
0.335	0.636
0.336	0.635
0.337	0.635
0.338	0.634
0.339	0.633
0.34	0.633
0.341	0.632
0.342	0.631
0.343	0.631
0.344	0.63
0.345	0.629
0.346	0.629
0.347	0.628
0.348	0.627
0.349	0.627
0.35	0.626
0.351	0.625
0.352	0.625
0.353	0.624
0.354	0.623
0.355	0.622
0.356	0.622
0.357	0.621
0.358	0.62
0.359	0.619
0.36	0.619
0.361	0.618
0.362	0.617
0.363	0.617
0.364	0.616
0.365	0.615
0.366	0.614
0.367	0.614
0.368	0.613
0.369	0.612
0.37	0.611
0.371	0.61
0.372	0.61
0.373	0.609
0.374	0.608
0.375	0.607
0.376	0.607
0.377	0.606
0.378	0.605
0.379	0.604
0.38	0.604
0.381	0.603
0.382	0.602
0.383	0.601
0.384	0.6
0.385	0.6
0.386	0.599
0.387	0.598
0.388	0.597
0.389	0.596
0.39	0.596
0.391	0.595
0.392	0.594
0.393	0.593
0.394	0.592
0.395	0.592
0.396	0.591
0.397	0.59
0.398	0.589
0.399	0.588
0.4	0.587
0.401	0.587
0.402	0.586
0.403	0.585
0.404	0.584
0.405	0.583
0.406	0.582
0.407	0.582
0.408	0.581
0.409	0.58
0.41	0.579
0.411	0.578
0.412	0.577
0.413	0.577
0.414	0.576
0.415	0.575
0.416	0.574
0.417	0.573
0.418	0.572
0.419	0.571
0.42	0.571
0.421	0.57
0.422	0.569
0.423	0.568
0.424	0.567
0.425	0.566
0.426	0.565
0.427	0.565
0.428	0.564
0.429	0.563
0.43	0.562
0.431	0.561
0.432	0.56
0.433	0.559
0.434	0.558
0.435	0.558
0.436	0.557
0.437	0.556
0.438	0.555
0.439	0.554
0.44	0.553
0.441	0.552
0.442	0.551
0.443	0.551
0.444	0.55
0.445	0.549
0.446	0.548
0.447	0.547
0.448	0.546
0.449	0.545
0.45	0.544
0.451	0.543
0.452	0.542
0.453	0.542
0.454	0.541
0.455	0.54
0.456	0.539
0.457	0.538
0.458	0.537
0.459	0.536
0.46	0.535
0.461	0.534
0.462	0.533
0.463	0.533
0.464	0.532
0.465	0.531
0.466	0.53
0.467	0.529
0.468	0.528
0.469	0.527
0.47	0.526
0.471	0.525
0.472	0.524
0.473	0.523
0.474	0.522
0.475	0.522
0.476	0.521
0.477	0.52
0.478	0.519
0.479	0.518
0.48	0.517
0.481	0.516
0.482	0.515
0.483	0.514
0.484	0.513
0.485	0.512
0.486	0.511
0.487	0.51
0.488	0.51
0.489	0.509
0.49	0.508
0.491	0.507
