x	v
0.492	0.506
0.493	0.505
0.494	0.504
0.495	0.503
0.496	0.502
0.497	0.501
0.498	0.5
0.499	0.499
0.5	0.498
0.5	0.497
0.501	0.496
0.502	0.495
0.503	0.495
0.504	0.494
0.505	0.493
0.506	0.492
0.507	0.491
0.508	0.49
0.509	0.489
0.51	0.488
0.511	0.487
0.512	0.486
0.513	0.485
0.514	0.484
0.515	0.483
0.516	0.482
0.517	0.481
0.518	0.48
0.519	0.479
0.52	0.478
0.521	0.477
0.522	0.476
0.523	0.476
0.524	0.475
0.525	0.474
0.526	0.473
0.527	0.472
0.528	0.471
0.529	0.47
0.53	0.469
0.531	0.468
0.532	0.467
0.533	0.466
0.534	0.465
0.535	0.464
0.536	0.463
0.537	0.462
0.538	0.461
0.539	0.46
0.54	0.459
0.541	0.458
0.542	0.457
0.543	0.456
0.544	0.455
0.545	0.454
0.546	0.453
0.547	0.452
0.548	0.451
0.549	0.451
0.55	0.45
0.551	0.449
0.552	0.448
0.553	0.447
0.554	0.446
0.555	0.445
0.556	0.444
0.557	0.443
0.558	0.442
0.559	0.441
0.56	0.44
0.561	0.439
0.562	0.438
0.563	0.437
0.564	0.436
0.565	0.435
0.566	0.434
0.567	0.433
0.568	0.432
0.569	0.431
0.57	0.43
0.571	0.429
0.572	0.428
0.573	0.427
0.574	0.426
0.575	0.425
0.576	0.424
0.577	0.423
0.578	0.422
0.579	0.421
0.58	0.42
0.581	0.419
0.582	0.418
0.583	0.417
0.584	0.416
0.585	0.415
0.586	0.415
0.587	0.414
0.588	0.413
0.589	0.412
0.59	0.411
0.591	0.41
0.592	0.409
0.593	0.408
0.594	0.407
0.595	0.406
0.596	0.405
0.597	0.404
0.598	0.403
0.599	0.402
0.6	0.401
0.601	0.4
0.602	0.399
0.603	0.398
0.604	0.397
0.605	0.396
0.606	0.395
0.607	0.394
0.608	0.393
0.609	0.392
0.61	0.391
0.611	0.39
0.612	0.389
0.613	0.388
0.614	0.387
0.615	0.386
0.616	0.385
0.617	0.384
0.618	0.383
0.619	0.382
0.62	0.381
0.621	0.38
0.622	0.379
0.623	0.378
0.624	0.377
0.625	0.376
0.626	0.375
0.627	0.374
0.628	0.373
0.629	0.372
0.63	0.371
0.631	0.37
0.632	0.369
0.633	0.368
0.634	0.367
0.635	0.366
0.636	0.365
0.637	0.364
0.638	0.363
0.639	0.362
0.64	0.361
0.641	0.36
0.642	0.359
0.643	0.358
0.644	0.357
0.645	0.356
0.646	0.355
0.647	0.354
0.648	0.353
0.649	0.352
0.65	0.351
0.651	0.35
0.652	0.349
0.653	0.348
0.654	0.347
0.655	0.346
0.656	0.345
0.657	0.344
0.658	0.343
0.659	0.342
0.66	0.341
0.661	0.34
0.662	0.339
0.663	0.338
0.664	0.337
0.665	0.336
0.666	0.335
0.667	0.334
0.668	0.333
0.669	0.332
0.67	0.331
0.671	0.33
0.672	0.329
0.673	0.328
0.674	0.327
0.675	0.326
0.676	0.325
0.677	0.324
0.678	0.323
0.679	0.322
0.68	0.321
0.681	0.32
0.682	0.319
0.683	0.318
0.684	0.317
0.685	0.316
0.686	0.316
0.687	0.315
0.688	0.314
0.689	0.313
0.69	0.312
0.691	0.311
0.692	0.31
0.693	0.309
0.694	0.308
0.695	0.307
0.696	0.306
0.697	0.305
0.698	0.304
0.699	0.303
0.7	0.302
0.701	0.301
0.702	0.3
0.703	0.299
0.704	0.298
0.705	0.297
0.706	0.296
0.707	0.295
0.708	0.294
0.709	0.293
0.71	0.292
0.711	0.291
0.712	0.29
0.713	0.289
0.714	0.288
0.715	0.287
0.716	0.286
0.717	0.285
0.718	0.284
0.719	0.283
0.72	0.282
0.721	0.281
0.722	0.28
0.723	0.279
0.724	0.278
0.725	0.277
0.726	0.276
0.727	0.275
0.728	0.274
0.729	0.273
0.73	0.272
0.731	0.271
0.732	0.27
0.733	0.269
0.734	0.268
0.735	0.267
0.736	0.266
0.737	0.265
0.738	0.264
0.739	0.263
0.74	0.262
0.741	0.261
0.742	0.26
0.743	0.259
0.744	0.258
0.745	0.256
0.746	0.255
0.747	0.254
0.748	0.253
0.749	0.252
0.75	0.251
0.751	0.25
0.752	0.249
0.753	0.248
0.754	0.247
0.755	0.246
0.756	0.245
0.757	0.244
0.758	0.243
0.759	0.242
0.76	0.241
0.761	0.24
0.762	0.239
0.763	0.238
0.764	0.237
0.765	0.236
0.766	0.235
0.767	0.234
0.768	0.233
0.769	0.232
0.77	0.231
0.771	0.23
0.772	0.229
0.773	0.228
0.774	0.227
0.775	0.226
0.776	0.225
0.777	0.224
0.778	0.223
0.779	0.222
0.78	0.221
0.781	0.22
0.782	0.219
0.783	0.218
0.784	0.217
0.785	0.216
0.786	0.215
0.787	0.214
0.788	0.213
0.789	0.212
0.79	0.211
0.791	0.21
0.792	0.209
0.793	0.208
0.794	0.207
0.795	0.206
0.796	0.205
0.797	0.204
0.798	0.203
0.799	0.202
0.8	0.201
0.801	0.2
0.802	0.199
0.803	0.198
0.804	0.197
0.805	0.196
0.806	0.195
0.807	0.194
0.808	0.193
0.809	0.192
0.81	0.191
0.811	0.19
0.812	0.189
0.813	0.188
0.814	0.187
0.815	0.186
0.816	0.185
0.817	0.184
0.818	0.183
0.819	0.182
0.82	0.181
0.821	0.18
0.822	0.179
0.823	0.178
0.824	0.177
0.825	0.176
0.826	0.175
0.827	0.174
0.828	0.173
0.829	0.172
0.83	0.171
0.831	0.17
0.832	0.169
0.833	0.168
0.834	0.167
0.835	0.166
0.836	0.165
0.837	0.164
0.838	0.163
0.839	0.162
0.84	0.161
0.841	0.16
0.842	0.159
0.843	0.158
0.844	0.157
0.845	0.156
0.846	0.155
0.847	0.154
0.848	0.153
0.849	0.152
0.85	0.151
0.851	0.15
0.852	0.149
0.853	0.148
0.854	0.147
0.855	0.146
0.856	0.145
0.857	0.144
0.858	0.143
0.859	0.142
0.86	0.141
0.861	0.14
0.862	0.139
0.863	0.138
0.864	0.137
0.865	0.136
0.866	0.135
0.867	0.134
0.868	0.133
0.869	0.132
0.87	0.131
0.871	0.13
0.872	0.129
0.873	0.128
0.874	0.127
0.875	0.126
0.876	0.125
0.877	0.124
0.878	0.123
0.879	0.122
0.88	0.121
0.881	0.12
0.882	0.119
0.883	0.118
0.884	0.117
0.885	0.116
0.886	0.115
0.887	0.114
0.888	0.113
0.889	0.112
0.89	0.111
0.891	0.11
0.892	0.109
0.893	0.108
0.894	0.107
0.895	0.106
0.896	0.105
0.897	0.104
0.898	0.103
0.899	0.102
0.9	0.101
0.901	0.0997
0.902	0.0987
0.903	0.0977
0.904	0.0967
0.905	0.0957
0.906	0.0947
0.907	0.0937
0.908	0.0927
0.909	0.0917
0.91	0.0907
0.911	0.0896
0.912	0.0886
0.913	0.0876
0.914	0.0866
0.915	0.0856
0.916	0.0846
0.917	0.0836
0.918	0.0826
0.919	0.0816
0.92	0.0806
0.921	0.0796
0.922	0.0786
0.923	0.0776
0.924	0.0766
0.925	0.0755
0.926	0.0745
0.927	0.0735
0.928	0.0725
0.929	0.0715
0.93	0.0705
0.931	0.0695
0.932	0.0685
0.933	0.0675
0.934	0.0665
0.935	0.0655
0.936	0.0645
0.937	0.0635
0.938	0.0625
0.939	0.0614
0.94	0.0604
0.941	0.0594
0.942	0.0584
0.943	0.0574
0.944	0.0564
0.945	0.0554
0.946	0.0544
0.947	0.0534
0.948	0.0524
0.949	0.0514
0.95	0.0504
0.951	0.0494
0.952	0.0484
0.953	0.0473
0.954	0.0463
0.955	0.0453
0.956	0.0443
0.957	0.0433
0.958	0.0423
0.959	0.0413
0.96	0.0403
0.961	0.0393
0.962	0.0383
0.963	0.0373
0.964	0.0363
0.965	0.0353
0.966	0.0343
0.967	0.0332
0.968	0.0322
0.969	0.0312
0.97	0.0302
0.971	0.0292
0.972	0.0282
0.973	0.0272
0.974	0.0262
0.975	0.0252
0.976	0.0242
0.977	0.0232
0.978	0.0222
0.979	0.0212
0.98	0.0201
0.981	0.0191
0.982	0.0181
0.983	0.0171
0.984	0.0161
0.985	0.0151
0.986	0.0141
0.987	0.0131
0.988	0.0121
0.989	0.0111
0.99	0.0101
0.991	0.00907
0.992	0.00806
0.993	0.00705
0.994	0.00605
0.995	0.00504
0.996	0.00403
0.997	0.00302
0.998	0.00202
0.999	0.00101
